2025-05-19 11:17:10.152 [main] INFO  com.cishu.weblogweb.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_411 on power with PID 31204 (E:\2025-code\ProjectPractice\weblog\weblog-springboot\weblog-web\target\classes started by 21930 in E:\2025-code\ProjectPractice\weblog\weblog-springboot)
2025-05-19 11:17:10.154 [main] INFO  com.cishu.weblogweb.WeblogWebApplication - The following profiles are active: prod
2025-05-19 11:17:10.658 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-05-19 11:17:10.659 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
2025-05-19 11:17:10.660 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-05-19 11:17:10.661 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-05-19 11:17:10.663 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2025-05-19 11:17:10.669 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-19 11:17:10.669 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2025-05-19 11:17:10.719 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-19 11:17:10.719 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 540 ms
2025-05-19 11:17:10.951 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-05-19 11:17:10.958 [main] INFO  com.cishu.weblogweb.WeblogWebApplication - Started WeblogWebApplication in 1.082 seconds (JVM running for 1.629)
2025-05-19 11:17:56.399 [main] INFO  com.cishu.weblogweb.WeblogWebApplicationTests - Starting WeblogWebApplicationTests using Java 1.8.0_411 on power with PID 37128 (started by 21930 in E:\2025-code\ProjectPractice\weblog\weblog-springboot\weblog-web)
2025-05-19 11:17:56.399 [main] INFO  com.cishu.weblogweb.WeblogWebApplicationTests - The following profiles are active: prod
2025-05-19 11:17:57.405 [main] INFO  com.cishu.weblogweb.WeblogWebApplicationTests - Started WeblogWebApplicationTests in 1.366 seconds (JVM running for 2.101)
